"Restaurant.Name","Address","Inspection.Fail.Count","Inspection.Pass.Count","Violation.Level1.Count","Violation.Level2.Count","Violation.Level3.Count","Violation.Pass.Count","Violation.Fail.Count","Violation.2010.Count","Violation.2011.Count","Violation.2012.Count","Violation.2013.Count","Violation.2014.Count","Violation.2015.Count","Violation.2016.Count","Violation.2017.Count","Violation.2018.Count","Violation.2019.Count","Violation.2020.Count","Price","review_count_total","review_count_anuave","year_count","ave_rating","latest_review","earliest_review","inactive_years","Yelp","Food.Inspection","lon","lat","Land_Parcel_ID","GIS_ID","Blk_ID_10","BG_ID_10","CT_ID_10"
"La Frontera Restaurant","290   Bennington ST East Boston MA 2128",12,5,90,11,25,48,78,54,20,15,7,18,12,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.02859,42.379018,100089000,100089000,250250509011009,250250509011,25025050901
"Cosmopolitan Lounge","276   Bennington ST East Boston MA 2128",3,2,14,0,8,10,12,0,0,5,15,0,2,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.02906,42.37881,100092000,100092000,250250509011009,250250509011,25025050901
"Tignda and Taqueria Guadalajara","257   Princeton ST East Boston MA 2128",2,2,22,0,8,15,15,0,0,0,10,20,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.029909,42.379575,100098000,100098000,250250509011034,250250509011,25025050901
"DaCoopas Pizza and Subs","474 Saratoga StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",77,5.923076923,13,3.717365967,2019,2007,0,1,0,-71.0272697,42.3801545,100303001,100303001,250250509011008,250250509011,25025050901
"DACOOPA SUB & PIZZA","474   Saratoga ST East Boston MA 2128",12,7,100,5,8,48,65,14,18,8,10,12,27,22,2,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.02729,42.38014,100303001,100303001,250250509011008,250250509011,25025050901
"Mario's Restaurant","347 Chelsea StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",147,11.30769231,13,4.19437117,2019,2007,0,1,0,-71.0288369,42.3781318,100316000,100316000,250250509011040,250250509011,25025050901
"Taqueria Jalisco","291 Bennington StBoston, MA 02128",13,12,94,8,24,62,64,16,8,8,14,22,22,16,6,4,0,10,"$",311,23.92307692,13,4.527106323,2019,2007,0,1,1,-71.0281753,42.3786956,100326000,100326000,250250509011040,250250509011,25025050901
"Nana Cora's Restaurant","295 Bennington StEast Boston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0281172,42.378732,100327000,100327000,250250509011040,250250509011,25025050901
"Blanca's Grill Restaurant","295   Bennington ST East Boston MA 2128",2,2,10,0,6,8,8,6,10,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.02813,42.37874,100327000,100327000,250250509011040,250250509011,25025050901
"Tu Metapan Restaurant","295   Bennington ST East Boston MA 2128",13,11,117,8,16,70,71,0,8,14,20,30,27,14,3,10,1,14,"0",0,0,0,0,0,0,0,0,1,-71.02813,42.37874,100327000,100327000,250250509011040,250250509011,25025050901
"Tu Metapan Restaurant","295 Bennington StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",27,3.857142857,7,4.10952381,2019,2012,0,1,0,-71.0281172,42.378732,100327000,100327000,250250509011040,250250509011,25025050901
"EL BUEN GUSTO","295   Bennington ST East Boston MA 2128",1,1,16,2,2,10,10,20,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.02813,42.37874,100327000,100327000,250250509011040,250250509011,25025050901
"El Rancho Restaurante","309 Bennington StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",12,1.714285714,7,3.333333333,2018,2008,1,1,0,-71.0278386,42.3788698,100330000,100330000,250250509011040,250250509011,25025050901
"Pueblo Viejo 2","309 Bennington StBoston, MA 02128",7,6,30,8,19,25,32,0,0,0,0,0,0,25,10,10,8,4,"$$",6,1.5,4,4.25,2019,2016,0,1,1,-71.0278386,42.3788698,100330000,100330000,250250509011040,250250509011,25025050901
"EL POLLO DORENO","309   Bennington ST East Boston MA 2128",10,7,116,12,23,74,77,46,14,22,24,16,29,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.027796,42.378888,100331000,100331000,250250509011040,250250509011,25025050901
"Frio Rico","360 R Bennington StEast Boston, MA 02128",14,11,87,4,33,60,64,28,13,12,8,8,14,10,2,12,1,16,"$",47,5.222222222,9,4.462962963,2019,2011,0,1,1,-71.026585,42.3798423,100464000,100464000,250250509011011,250250509011,25025050901
"Suculento Restaurant","350   Bennington ST East Boston MA 2128",3,1,12,2,2,7,9,0,0,0,0,0,0,0,0,0,4,12,"0",0,0,0,0,0,0,0,0,1,-71.026928,42.379626,100467000,100467000,250250509011011,250250509011,25025050901
"ELITE DONUT SHOP","350   Bennington ST East Boston MA 2128",8,5,50,2,20,33,39,26,32,3,1,2,0,8,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.026928,42.379626,100467000,100467000,250250509011011,250250509011,25025050901
"Jeveli's Restaurant","387 Chelsea StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",229,17.61538462,13,3.727107387,2019,2007,0,1,0,-71.0274669,42.3795092,100468000,100468000,250250509011011,250250509011,25025050901
"Jeveli's","387   Chelsea ST East Boston MA 2128",14,8,116,12,16,66,78,7,18,10,10,25,34,14,9,11,0,6,"0",0,0,0,0,0,0,0,0,1,-71.027388,42.379491,100468000,100468000,250250509011011,250250509011,25025050901
"EL CHALAN","405   Chelsea ST East Boston MA 2128",38,25,383,33,121,247,290,110,48,14,69,77,58,51,48,42,12,8,"0",0,0,0,0,0,0,0,0,1,-71.027,42.379767,100473000,100473000,250250509011011,250250509011,25025050901
"Pollos A La Brasa El Chalan","405 Chelsea StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",45,3.75,12,3.274305556,2019,2008,0,1,0,-71.0270377,42.3797992,100473000,100473000,250250509011011,250250509011,25025050901
"RINCON LIMENO","409   Chelsea ST East Boston MA 2128",16,11,142,2,20,79,85,30,14,20,32,22,16,2,10,6,11,1,"0",0,0,0,0,0,0,0,0,1,-71.02689,42.37986,100475000,100475000,250250509011011,250250509011,25025050901
"Rincon Limeño Restaurant","409 Chelsea StEast Boston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",249,17.78571429,14,4.090821329,2019,2006,0,1,0,-71.0268636,42.3798529,100475000,100475000,250250509011011,250250509011,25025050901
"Bar Medallo","411   Chelsea ST East Boston MA 2128",7,4,25,5,9,14,25,0,6,0,4,2,8,0,10,3,6,0,"0",0,0,0,0,0,0,0,0,1,-71.026814,42.379899,100476000,100476000,250250509011011,250250509011,25025050901
"Tequilas Mexican Bar & Grill","964 Saratoga StEast Boston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",6,2,3,1.833333333,2017,2007,2,1,0,-71.0085693,42.3871427,100529000,100529000,250250510002015,250250510002,25025051000
"Eucalipto","964   Saratoga ST East Boston MA 2128",2,2,26,0,6,16,16,0,16,16,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.0086,42.38717,100529000,100529000,250250510002015,250250510002,25025051000
"Mi Pueblito Orient Heights","964 Saratoga StBoston, MA 02128",6,4,30,8,16,26,28,0,0,0,0,0,0,20,12,4,2,16,"$$",21,5.25,4,3.666666667,2019,2016,0,1,1,-71.0085693,42.3871427,100529000,100529000,250250510002015,250250510002,25025051000
"King Dragon Restaurant","964   Saratoga ST East Boston MA 2128",2,2,28,2,10,20,20,16,24,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.0086,42.38717,100529000,100529000,250250510002015,250250510002,25025051000
"Courtyard Marriott Logan Airport","225  William F McClellan HWY East Boston MA 2128",4,2,3,0,8,5,6,0,0,0,0,0,0,0,0,8,3,0,"0",0,0,0,0,0,0,0,0,1,-71.01656,42.38725,100549001,100549001,250250510002018,250250510002,25025051000
"Courtyard By Marriott","225  William F McClellan HWY East Boston MA 2128",16,12,134,21,18,79,94,25,60,16,14,14,12,22,10,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.016559,42.387239,100549001,100549001,250250510002018,250250510002,25025051000
"Brinkleys Restaurant & Pub","225 William F McClellanBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",29,4.833333333,6,2.943452381,2019,2014,0,1,0,-71.0164396,42.3872486,100549001,100549001,250250510002018,250250510002,25025051000
"Sammy Carlo's Delicatessen & Catering","567 Bennington StEast Boston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",43,4.3,10,4.76547619,2019,2009,0,1,0,-71.0181793,42.3825354,100877000,100877000,250250510001012,250250510001,25025051000
"Sammy Carlo's Delicatessan/Food for Thought","567   Bennington ST East Boston MA 2128",23,5,139,6,22,62,105,31,44,10,5,25,16,15,10,1,2,8,"0",0,0,0,0,0,0,0,0,1,-71.018149,42.382498,100877000,100877000,250250510001012,250250510001,25025051000
"ROYAL ROAST BEEF & SEAFOOD","752   Bennington ST East Boston MA 2128",19,9,152,10,21,84,99,12,22,24,15,22,41,18,19,10,0,0,"0",0,0,0,0,0,0,0,0,1,-71.01084,42.38557,101070000,101070000,250250510001000,250250510001,25025051000
"Woody's Pizza & Liquors","9 Barnes AveBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",34,6.8,5,2.667619048,2019,2015,0,1,0,-71.0053743,42.385975,101234000,101234000,250250511013007,250250511013,25025051101
"Woody's Pizza Inc","1035   Saratoga ST East Boston MA 2128",2,1,4,2,0,2,4,0,0,0,0,0,0,4,2,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.00526,42.38599,101234000,101234000,250250511013007,250250511013,25025051101
"Woodys Pizza","1035   Saratoga ST East Boston MA 2128",2,2,30,2,2,17,17,0,0,0,0,12,22,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.00526,42.38599,101234000,101234000,250250511013007,250250511013,25025051101
"Melodias","1045 Saratoga StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",1,1,1,2,2019,2019,0,1,0,-71.0050918,42.3859192,101235000,101235000,250250511013007,250250511013,25025051101
"Mama Blanca Restaurant","1041   Saratoga ST East Boston MA 2128",10,8,110,4,20,66,68,22,13,25,16,14,26,18,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.00511,42.38594,101235000,101235000,250250511013007,250250511013,25025051101
"Domino's Pizza","1144 Saratoga StBoston, MA 02128",7,3,22,0,2,9,15,2,0,0,1,12,2,7,0,0,0,0,"$",28,2.545454545,11,2.318181818,2019,2008,0,1,1,-71.0003041,42.3846133,101360000,101360000,250259816001003,250259816001,25025981600
"Domino's","1144   Saratoga ST East Boston MA 2128",1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,"0",0,0,0,0,0,0,0,0,1,-71.00029,42.3846,101360000,101360000,250259816001003,250259816001,25025981600
"Napoles","1233   Bennington ST East Boston MA 2128",14,10,151,10,32,94,99,0,18,20,12,18,48,35,32,0,10,0,"0",0,0,0,0,0,0,0,0,1,-70.99673,42.3899,101400000,101400000,250250511014003,250250511014,25025051101
"Napoles Restaurant","1233 Bennington StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",19,3.166666667,6,3.611111111,2019,2009,0,1,0,-70.9967983,42.3899277,101400000,101400000,250250511014003,250250511014,25025051101
"Angela's Cafe - Orient Heights","1012 Bennington StBoston, MA 02128",6,2,39,0,8,21,26,0,0,0,0,0,0,28,10,2,7,0,"$$",93,23.25,4,4.05485151,2019,2016,0,1,1,-71.0063405,42.3870945,101583000,101583000,250250511011008,250250511011,25025051101
"Renegade's Pub","1004 Bennington StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",77,25.66666667,3,4.038974359,2019,2017,0,1,0,-71.0067844,42.3868586,101620000,101620000,250250511011009,250250511011,25025051101
"Spartans Victory Pub","1002   Bennington ST East Boston MA 2128",2,2,8,2,6,8,8,12,4,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.0068,42.38689,101620000,101620000,250250511011009,250250511011,25025051101
"Sunny Cafe","1000 Bennington StBoston, MA 02128",5,3,12,2,6,9,11,0,0,0,0,0,0,0,2,6,0,12,"$",65,21.66666667,3,4.664717349,2019,2017,0,1,1,-71.0068632,42.386836,101620001,101620001,250250511011009,250250511011,25025051101
"Cafe Orient Heights","1000   Bennington ST East Boston MA 2128",10,5,75,9,18,47,55,16,24,12,12,15,23,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.00687,42.38687,101620001,101620001,250250511011009,250250511011,25025051101
"Donna's Restaurant","980 Saratoga StBoston, MA 02128",12,8,94,2,14,53,57,14,12,20,4,14,24,12,9,1,0,0,"$",140,10,14,3.717613295,2019,2005,0,1,1,-71.0072235,42.3869571,101622000,101622000,250250511011009,250250511011,25025051101
"Milano's Delicatessen","978 Saratoga StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",69,5.307692308,13,4.350793651,2019,2007,0,1,0,-71.0074084,42.3870179,101623000,101623000,250250511011009,250250511011,25025051101
"MILANO'S DELI","978   Saratoga ST East Boston MA 2128",6,6,44,2,10,28,28,4,0,0,0,10,20,12,5,5,0,0,"0",0,0,0,0,0,0,0,0,1,-71.007351,42.387008,101623000,101623000,250250511011009,250250511011,25025051101
"EL KIOSCO","972   Saratoga ST East Boston MA 2128",15,13,179,13,54,115,131,18,44,32,14,28,34,32,26,4,14,0,"0",0,0,0,0,0,0,0,0,1,-71.00758,42.387091,101624000,101624000,250250511011009,250250511011,25025051101
"El Kiosco Restaurant","972 Saratoga StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",18,2,9,4.083333333,2019,2007,0,1,0,-71.0076638,42.3871173,101624000,101624000,250250511011009,250250511011,25025051101
"Burger King","944 Bennington StreetEast Boston, MA 02128",19,11,111,8,0,52,67,3,3,29,19,12,30,11,3,4,4,1,"$",24,2.181818182,11,1.46969697,2019,2009,0,1,1,-71.009614,42.3862647,101634000,101634000,250250511011011,250250511011,25025051101
"Subway","944   Bennington ST East Boston MA 2128",2,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.00953,42.386166,101634000,101634000,250250511011011,250250511011,25025051101
"Subway Restaurants","948 Bennington StreetEast Boston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",7,1.4,5,2.8,2019,2014,0,1,0,-71.0093586,42.3863136,101634000,101634000,250250511011011,250250511011,25025051101
"Luna's Restaurant Italian and Latin Cuisine","945 Saratoga StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",50,16.66666667,3,4.207729469,2019,2017,0,1,0,-71.0091497,42.386556,101637001,101637001,250250511011011,250250511011,25025051101
"Luna's","945   Saratoga ST East Boston MA 2128",2,1,5,0,0,1,4,0,0,0,0,0,0,0,4,1,0,0,"0",0,0,0,0,0,0,0,0,1,-71.009157,42.386578,101637001,101637001,250250511011011,250250511011,25025051101
"Starbucks Coffee","440  William F McClellan HWY East Boston MA 2128",14,6,53,0,4,22,35,5,6,8,8,12,1,6,1,1,1,8,"0",0,0,0,0,0,0,0,0,1,-71.012976,42.393484,101662000,101662000,250250510002008,250250510002,25025051000
"MADONNA SHRINE","145   Gladstone ST East Boston MA 2128",2,1,7,2,2,5,6,0,0,0,0,0,0,10,1,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.005509,42.38998,101897000,101897000,250250511011001,250250511011,25025051101
"Legends Bar & Grill","525  William F McClellan HWY East Boston MA 2128",2,1,2,6,2,5,5,0,0,0,0,0,0,0,0,0,10,0,"0",0,0,0,0,0,0,0,0,1,-71.000092,42.395173,102524000,102524000,250259815021010,250259815021,25025981502
"Padduck Concession","525  William F McClellan HWY East Boston MA 2128",1,1,2,4,0,3,3,0,0,0,0,0,0,0,0,0,6,0,"0",0,0,0,0,0,0,0,0,1,-71.000092,42.395173,102524000,102524000,250259815021010,250259815021,25025981502
"Jockeys Room Kitchen","111   Waldemar AVE East Boston MA 2128",1,1,6,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.00029,42.39443,102524000,102524000,250259815021010,250259815021,25025981502
"Finish Line Cafe","111   Waldemar AVE East Boston MA 2128",1,1,10,2,4,8,8,16,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.00029,42.39443,102524000,102524000,250259815021010,250259815021,25025981502
"Cirque Du Soleil - Spectrum Catering","525  William F McClellan HWY East Boston MA 2128",1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,"0",0,0,0,0,0,0,0,0,1,-71.000092,42.395173,102524000,102524000,250259815021010,250259815021,25025981502
"The Turf Club","525  William F McClellan HWY East Boston MA 2128",1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,"0",0,0,0,0,0,0,0,0,1,-71.000092,42.395173,102524000,102524000,250259815021010,250259815021,25025981502
"Jocks Room Kitchen","111   Waldemar AVE East Boston MA 2128",2,1,8,0,2,4,6,0,2,8,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.00029,42.39443,102524000,102524000,250259815021010,250259815021,25025981502
"Saigon Restaurant","305   Meridian ST East Boston MA 2128",13,7,180,4,44,104,124,28,74,50,16,14,46,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.039011,42.377288,102593000,102593000,250250502001003,250250502001,25025050200
"Saigon Hut","305 Meridian StBoston, MA 02128",7,6,65,10,28,51,52,0,0,0,0,0,0,18,24,35,10,16,"$",164,12.61538462,13,4.046206644,2019,2007,0,1,1,-71.038982,42.3772893,102593000,102593000,250250502001003,250250502001,25025050200
"Cafeteria y Pupuseria Karen","313   Meridian ST East Boston MA 2128",8,4,84,13,42,64,75,58,24,22,32,3,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.038994,42.377482,102596000,102596000,250250502001003,250250502001,25025050200
"Lenny's Spa","313 Meridian StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0389936,42.3774861,102596000,102596000,250250502001003,250250502001,25025050200
"Rinconcito Salvadoreno","313 Meridian StBoston, MA 02128",10,7,84,4,30,58,60,0,0,0,0,20,30,26,16,12,4,10,"$",4,1,4,4,2019,2014,0,1,1,-71.0389936,42.3774861,102596000,102596000,250250502001003,250250502001,25025050200
"New Ming Liang Restaurant","339 Meridian StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",1,1,1,2,2017,2017,2,1,0,-71.0389936,42.3783023,102631000,102631000,250250502001001,250250502001,25025050200
"Canton Eatery","339 Meridian StBoston, MA 02128",6,6,120,18,24,81,81,56,14,22,70,0,0,0,0,0,0,0,"$$",71,5.916666667,12,2.689237614,2019,2008,0,1,1,-71.0389936,42.3783023,102631000,102631000,250250502001001,250250502001,25025050200
"Eagle Hill Cafe","1 Marion StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",5,2.5,2,5,2019,2018,0,1,0,-71.0390554,42.3804042,102714000,102714000,250250501013004,250250501013,25025050101
"Angela's Cafe - Eagle Hill","131 Lexington StBoston, MA 02128",13,10,117,12,28,76,81,38,14,34,8,14,14,3,14,4,14,0,"$$",417,32.07692308,13,4.220162373,2019,2007,0,1,1,-71.0349542,42.3785201,102937000,102937000,250250502001005,250250502001,25025050200
"Mi Pueblito Restaurant","333 Border StBoston, MA 02128",18,16,127,22,45,96,98,24,25,16,12,14,36,20,16,1,14,16,"$$",171,12.21428571,14,4.406899768,2019,2006,0,1,1,-71.0398177,42.3790276,103636000,103636000,250250501012006,250250501012,25025050101
"Channel Fish Co","370 E Eagle StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0266546,42.381876,103711004,103711004,250250509013006,250250509013,25025050901
"Santarpio's Pizza","111 Chelsea StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",1206,75.375,16,4.111790015,2019,2004,0,1,0,-71.0352918,42.37266,103783000,103783000,250250506001015,250250506001,25025050600
"CAFE NAPOLI","81   Chelsea ST East Boston MA 2128",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"0",0,0,0,0,0,0,0,0,1,-71.036223,42.371833,103831000,103831000,250250506001015,250250506001,25025050600
"Toasted Flats","53 Chelsea StBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",58,19.33333333,3,4.708333333,2019,2017,0,1,0,-71.0370319,42.3710936,103847000,103847000,250250506002001,250250506002,25025050600
"Salamanders Coffee Place","154   Maverick ST East Boston MA 2128",3,1,6,0,4,5,5,0,0,0,0,4,6,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.037913,42.369908,103868000,103868000,250250506002001,250250506002,25025050600
"Maverick’s","154 Maverick StMaverick MarketplaceBoston, MA 02128",7,5,34,6,17,24,33,0,0,0,0,0,14,15,10,6,6,6,"$",127,21.16666667,6,4.104656646,2019,2014,0,1,1,-71.037937,42.3698284,103868000,103868000,250250506002001,250250506002,25025050600
"Embassy Suites @Logan Airport","207  Porter ST East Boston MA 2128",1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,"0",0,0,0,0,0,0,0,0,1,-71.031732,42.370435,104102000,104102000,250250505001003,250250505001,25025050500
"EMBASSY SUITES BOSTON (FS)","207  Porter ST East Boston MA 2128",15,9,115,6,34,73,82,26,20,14,8,24,32,13,14,4,0,0,"0",0,0,0,0,0,0,0,0,1,-71.031732,42.370435,104102000,104102000,250250505001003,250250505001,25025050500
"OTTO","1 Harborside DrBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",2,2,1,2.5,2019,2019,0,1,0,-71.0257812,42.3634422,104126000,104126000,250259813002008,250259813002,25025981300
"Kt Asian Fusion","Logan Airport200 Ter BBoston, MA 02129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",1,1,1,1,2015,2015,4,1,0,-71.0095602,42.3656132,104126000,104126000,250259813002008,250259813002,25025981300
"Mitchell At Bos","55 Logan AirportBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0095602,42.3656132,104126000,104126000,250259813002008,250259813002,25025981300
"GoGo Stop","Logan International AirportGate C29Boston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",5,2.5,2,4.25,2019,2017,0,1,0,-71.0146356,42.365123,104126000,104126000,250259813002008,250259813002,25025981300
"Wendy's","1 Harborside DrBoston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",17,2.428571429,7,2.471428571,2019,2012,0,1,0,-71.0257812,42.3634422,104126000,104126000,250259813002008,250259813002,25025981300
"Harborside Cafe","1 Harborside DrEast Boston, MA 02128",5,4,53,8,2,31,32,0,0,0,6,20,21,16,0,0,0,0,"no value",0,0,1,0,0,0,0,1,1,-71.0257812,42.3634422,104126000,104126000,250259813002008,250259813002,25025981300
"Hotel La Carreta","A-3 Km 334Boston, MA 02128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0200613,42.3695431,104126000,104126000,250259813002008,250259813002,25025981300
"Durgin-Park Restaurant","Boston-Logan International AirportTerminal EJeffries Point / Airport, MA 02128",50,15,616,43,99,327,431,39,42,205,166,76,34,101,42,52,1,0,"$$",100,14.28571429,7,2.049613482,2019,2013,0,1,1,-71.0095602,42.3656132,104126000,104126000,250259813002008,250259813002,25025981300
